NAME,DATA TIMESTAMP,RAINFALL DAY MM
Stamet Luwuk,2025-01-20 00:00:00.0 +0:00,8888
Stamet Luwuk,2025-01-21 00:00:00.0 +0:00,3.7
Stamet Luwuk,2025-01-22 00:00:00.0 +0:00,41
Stamet Luwuk,2025-01-23 00:00:00.0 +0:00,7
Stamet Luwuk,2025-01-24 00:00:00.0 +0:00,1.5
Stamet Luwuk,2025-01-25 00:00:00.0 +0:00,9.2
Stamet Luwuk,2025-01-26 00:00:00.0 +0:00,8888
Stamet Luwuk,2025-01-27 00:00:00.0 +0:00,0
Stamet Luwuk,2025-01-28 00:00:00.0 +0:00,3.5
Stamet Luwuk,2025-01-29 00:00:00.0 +0:00,8.8
Stamet Luwuk,2025-01-30 00:00:00.0 +0:00,22
Stamet Luwuk,2025-01-31 00:00:00.0 +0:00,0
Salodik,2025-01-01 00:00:00.0 +0:00,0
Salodik,2025-01-02 00:00:00.0 +0:00,5.8
Salodik,2025-01-03 00:00:00.0 +0:00,0
Salodik,2025-01-04 00:00:00.0 +0:00,0
Salodik,2025-01-05 00:00:00.0 +0:00,3
Salodik,2025-01-06 00:00:00.0 +0:00,0
Salodik,2025-01-07 00:00:00.0 +0:00,0
Salodik,2025-01-08 00:00:00.0 +0:00,3
Salodik,2025-01-09 00:00:00.0 +0:00,37
Salodik,2025-01-10 00:00:00.0 +0:00,5
Salodik,2025-01-11 00:00:00.0 +0:00,0
Salodik,2025-01-12 00:00:00.0 +0:00,5.8
Salodik,2025-01-13 00:00:00.0 +0:00,3
Salodik,2025-01-14 00:00:00.0 +0:00,4
Salodik,2025-01-15 00:00:00.0 +0:00,10
Salodik,2025-01-16 00:00:00.0 +0:00,15
Salodik,2025-01-17 00:00:00.0 +0:00,6
Salodik,2025-01-18 00:00:00.0 +0:00,4
Salodik,2025-01-19 00:00:00.0 +0:00,21
Salodik,2025-01-20 00:00:00.0 +0:00,5
Salodik,2025-01-21 00:00:00.0 +0:00,0
Salodik,2025-01-22 00:00:00.0 +0:00,0
Salodik,2025-01-23 00:00:00.0 +0:00,0
Salodik,2025-01-24 00:00:00.0 +0:00,6
